model,feature_subset,hyperparameters,hyperparameter_search_type,cv_total_time,cv_iters,cv_time_per_iter,training_time,avg_training_score
catboost,filter,"OrderedDict([('regression__iterations', 200), ('regression__l2_leaf_reg', 5.637922884126309), ('regression__learning_rate', 0.04893017698331533), ('regression__max_depth', 8), ('regression__random_strength', 2.0)])",bayes,620.5296370983124,50,12.410592741966248,3.180443525314331,82.17582430193673
catboost,wrapper,"OrderedDict([('regression__iterations', 200), ('regression__l2_leaf_reg', 10.0), ('regression__learning_rate', 0.06298886347365545), ('regression__max_depth', 6), ('regression__random_strength', 1.0)])",bayes,330.7876410484314,50,6.615752820968628,2.2572925090789795,82.48079419827772
catboost,no_selection,"OrderedDict([('regression__iterations', 200), ('regression__l2_leaf_reg', 10.0), ('regression__learning_rate', 0.02914985796064843), ('regression__max_depth', 8), ('regression__random_strength', 1.0)])",bayes,530.1788566112518,50,10.603577132225036,5.097702026367188,82.79572110039553
lgbm,manual,"OrderedDict([('regression__learning_rate', 0.07538713534876167), ('regression__max_depth', 4), ('regression__min_data_in_leaf', 200), ('regression__num_iterations', 50), ('regression__num_leaves', 100)])",bayes,38.05036544799805,50,0.7610073089599609,0.0299694538116455,83.314620119142
lgbm,filter,"OrderedDict([('regression__learning_rate', 0.19674635138648194), ('regression__max_depth', 3), ('regression__min_data_in_leaf', 79), ('regression__num_iterations', 74), ('regression__num_leaves', 10)])",bayes,29.31800413131714,50,0.5863600826263428,0.0324811935424804,82.75239373414163
lgbm,wrapper,"OrderedDict([('regression__learning_rate', 0.18417694493343234), ('regression__max_depth', 3), ('regression__min_data_in_leaf', 104), ('regression__num_iterations', 50), ('regression__num_leaves', 94)])",bayes,29.38965344429016,50,0.5877930688858032,0.0278058052062988,82.95309627512827
lgbm,no_selection,"OrderedDict([('regression__learning_rate', 0.1769156067277712), ('regression__max_depth', 3), ('regression__min_data_in_leaf', 115), ('regression__num_iterations', 50), ('regression__num_leaves', 10)])",bayes,43.04041337966919,50,0.8608082675933838,0.1700525283813476,83.11972338375003
histgradientboost,manual,"OrderedDict([('regression__learning_rate', 0.18816077077945562), ('regression__max_depth', 2), ('regression__max_features', 0.31165993681626947), ('regression__max_iter', 50), ('regression__max_leaf_nodes', 60), ('regression__min_samples_leaf', 200)])",bayes,28.465141534805294,50,0.569302830696106,0.0509958267211914,83.38184375003458
histgradientboost,filter,"OrderedDict([('regression__learning_rate', 0.13430802331510008), ('regression__max_depth', 8), ('regression__max_features', 0.4913920710479611), ('regression__max_iter', 50), ('regression__max_leaf_nodes', 9), ('regression__min_samples_leaf', 20)])",bayes,28.340924501419067,50,0.5668184900283814,0.0732359886169433,82.60312820261804
histgradientboost,wrapper,"OrderedDict([('regression__learning_rate', 0.1573133893916925), ('regression__max_depth', 3), ('regression__max_features', 0.7429557875160375), ('regression__max_iter', 99), ('regression__max_leaf_nodes', 11), ('regression__min_samples_leaf', 115)])",bayes,26.02744150161743,50,0.5205488300323486,0.0717401504516601,82.84526131726716
histgradientboost,no_selection,"OrderedDict([('regression__learning_rate', 0.187274215988719), ('regression__max_depth', 2), ('regression__max_features', 0.9594050001495171), ('regression__max_iter', 117), ('regression__max_leaf_nodes', 13), ('regression__min_samples_leaf', 125)])",bayes,44.81061744689941,50,0.8962123489379883,0.2714483737945556,82.97741054803666
