model,preprocessing__cat__oh__min_frequency,regression__max_depth,regression__max_features,regression__min_samples_split,regression__n_estimators,error,feature_subset
random_forest,0.0001,17,0.6474131133913984,50,200,81.99680936766894,filter
extra_trees,0.0001,16,0.3,50,106,82.19038700513607,filter
