model,preprocessing__cat__oh__min_frequency,regression__C,regression__epsilon,regression__tol,regression__degree,error,feature_subset
svm_linear,0.005067687245650943,71.0411544538531,0.26633253593242695,0.041821644626507753,,88.77516348329344,filter
svm_poly,0.0018707496062876693,32.75143592003466,0.030225289960459558,0.07982332010050937,4.0,88.23183926282347,manual
svm_rbf,0.005067687245650943,71.0411544538531,0.26633253593242695,0.041821644626507753,,87.48841351157962,filter
svm_sigmoid,0.02969275048082812,1.4982252118587012,0.3582545677649474,0.0001225375937095268,,101.27207439472834,manual
